pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2023-10-01,80.6,-1.37,6.27,"Greinke, Zack",677592,425844,,ball,,,,,14.0,Ball,R,R,R,KC,NYY,B,,,0,1,2023,1.49,0.07,2.4166122432040753,0.3362608933035145,,,,1,5,Top,,,,,,,5.5413705056157925,-117.16562858185472,-6.568858106090266,12.67731091473859,22.058646928049747,-30.52298545420739,3.20104342821886,1.61546536177779,,,,79.8,2591.0,5.8,716352,521692,668472,686681,672580,677951,658668,680118,669004,54.7,,,,,,,,36,2,Slider,4,0,0,4,0,4,0,4,Standard,Standard,54.0,-0.001,0.03,,,,-0.03,,4,-4,0.916,0.0839999999999999,39,22,40,22,2,1,5.0,1,,,3.45,-1.49,-1.49,45.8,,,,,
FF,2023-10-01,91.3,-1.35,5.9,"Houser, Adrian",665804,605288,,foul,,,,,11.0,Foul,R,R,R,MIL,CHC,S,,,3,0,2023,-0.5,1.26,-0.7999944069034056,3.32042012510019,,,,0,5,Top,,,,,,,2.5064887710517083,-132.90801386721665,-3.339329122478401,-6.506862283453529,28.964495177311864,-16.77977959523775,3.23,1.52,,,,92.2,2138.0,6.9,716364,661388,592192,668930,518626,642715,621438,669003,663368,53.64,,,,,,,,37,4,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,221.0,0.009,-0.086,,,,0.086,,3,-3,0.811,0.1889999999999999,30,24,30,24,2,1,5.0,1,,,1.48,0.5,0.5,41.8,,,,,
CU,2023-10-01,77.1,-1.06,5.61,"Avila, Pedro",518735,658648,,swinging_strike,,,,,14.0,Swinging Strike,R,L,R,CWS,SD,S,,,0,1,2023,0.78,-0.98,0.383217055211548,0.5571623200232096,,,,0,4,Bot,,,,,,,1.6577990075221585,-112.28358333171232,-1.922445455159348,6.153403959387524,23.018292985514964,-40.21356296809413,3.08,1.43,,,,77.2,2554.0,6.6,716356,664954,643265,673490,666703,593428,595777,663757,640492,53.86,,,,,,,,28,2,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,31.0,-0.007,-0.054,67.8,8.7,,0.054,,0,0,0.556,0.556,26,34,26,35,2,1,8.0,1,,,4.85,-0.78,0.78,47.1,26.196964427890848,-39.60004891595745,30.833726779892498,30.795763420289752,57.19720816757092
FF,2023-10-01,93.6,1.13,4.99,"Sears, JP",500871,676664,,ball,,,,,11.0,Ball,R,R,L,LAA,ATH,B,,,1,1,2023,0.79,1.44,-0.4552625852737353,3.921361042997173,681351.0,666176.0,,0,4,Bot,,,,,,,-5.910637811454235,-136.2170036262312,-0.2071216980383973,11.14632973923182,29.60642039081183,-14.39540742201742,2.99999293951307,1.53143889427348,,,,94.8,2152.0,7.0,716365,691016,676116,680869,672478,669397,668709,671732,665923,53.53,,,,,,,,30,3,4-Seam Fastball,3,0,3,0,0,3,3,0,Strategic,Standard,136.0,0.002,-0.001,,,,0.001,,3,3,0.921,0.921,27,34,27,34,2,1,7.0,4,,,1.16,0.79,-0.79,35.3,,,,,
SL,2023-10-01,81.1,-1.62,6.34,"Rutledge, Jackson",671739,671131,,foul,,,,,14.0,Foul,R,L,R,ATL,WSH,S,,,0,2,2023,-0.09,-0.16,0.8282077790324736,0.8384724855203718,,,,1,3,Bot,,,,,,,5.612150887228933,-117.96785571458504,-5.3649402203687035,-1.8749557933429624,22.079140303723317,-32.82661276999121,3.45,1.59,0.0,48.7,-67.0,80.8,1509.0,6.0,716354,686452,608841,545121,666198,682928,669743,696285,657041,54.46,,,,,,,,33,3,Slider,5,5,5,5,5,5,5,5,Strategic,Standard,34.0,0.0,0.0,57.3,9.1,,0.0,88.0,0,0,0.523,0.523,24,22,24,22,2,1,7.0,1,,6.0,3.62,0.09,-0.09,37.1,18.367622485044382,-45.250882488805864,28.27464111078089,30.352952624562747,55.142218426531485
SL,2023-10-01,83.0,-2.91,5.61,"Houck, Tanner",624428,656557,,swinging_strike,,,,,9.0,Swinging Strike,R,L,R,BAL,BOS,S,,,0,0,2023,1.05,-0.23,0.4460051894538261,1.5668761753444276,,,,1,5,Bot,,,,,,,5.6073272428119045,-120.76207826240864,-2.24198745337765,9.00221930272128,26.22985958358924,-34.15558388654807,3.13,1.4,,,,82.6,2463.0,6.3,716367,657136,666915,665839,622569,596115,807799,677800,657077,54.18,,,,,,,,37,1,Slider,0,2,0,2,2,0,0,2,Standard,Standard,52.0,-0.003,-0.041,67.6,8.4,,0.041,,-2,-2,0.257,0.257,27,31,27,32,2,1,5.0,1,,6.0,3.57,-1.05,1.05,21.2,33.178630727964354,-29.903294307533855,40.714482724011454,25.9929079650222,41.40148536815269
CH,2023-10-01,86.3,1.63,5.74,"Rodriguez, Eduardo",660757,593958,field_out,hit_into_play,,,,,6.0,Oscar Gonzalez flies out to center fielder Parker Meadows. Ramon Laureano to 3rd.,R,R,L,DET,CLE,X,8.0,fly_ball,1,2,2023,1.38,0.28,0.5673766367429172,2.8066043960072937,,657656.0,,0,4,Top,151.79,65.71,,,,,-5.345202762591123,-125.68662686487208,-1.3545576686612737,15.707698279152837,23.75155551627524,-29.185391403608765,3.5,1.69,336.0,99.8,37.0,86.7,1835.0,6.3,716361,668670,679529,628451,663837,595879,668731,678009,681481,54.17,0.283,0.5449999999999999,0.0,1.0,0.0,0.0,5.0,30,6,Changeup,3,0,0,3,0,3,0,3,Standard,Standard,130.0,0.008,-0.176,71.4,7.4,1.09,0.176,99.8,3,-3,0.768,0.2319999999999999,30,25,30,25,2,1,7.0,1,,,2.76,1.38,-1.38,35.4,5.255524149522826,-1.024706009874235,23.17134214350309,47.011370909477144,32.94673243963621
CH,2023-10-01,89.5,-1.45,5.7,"Parsons, Wes",606132,641149,,ball,,,,,14.0,Ball,R,L,R,TOR,TB,B,,,1,1,2023,-1.39,0.56,0.0256458734904823,0.3354824198715067,,,,2,2,Top,,,,,,,6.647699651394589,-129.95571635608476,-8.388460401119188,-17.213497385032415,29.808838908686592,-24.152678507850094,3.40303305400106,1.5834164770722,,,,89.8,1757.0,6.8,716357,623168,624415,676914,669289,666182,686490,662139,593160,53.7,,,,,,,,20,3,Changeup,0,8,8,0,8,0,8,0,Standard,Standard,240.0,0.0,0.053,,,,-0.053,,-8,8,0.034,0.966,30,29,31,29,2,1,,1,,,2.32,1.39,-1.39,39.3,,,,,
FF,2023-10-01,93.9,-2.53,5.39,"Buttó, José",624641,676130,,called_strike,,,,,1.0,Called Strike,R,R,R,NYM,PHI,S,,,0,0,2023,-0.5,1.03,-0.4018121848413157,3.1130199566058048,,,,1,4,Top,,,,,,,6.597053415469865,-136.6033826284292,-2.456697210044769,-7.694055716419561,30.172384005452233,-18.90091286651807,3.4344920116333,1.60467330413346,,,,93.8,2319.0,6.2,716355,682626,624413,677595,683146,596019,641796,542364,621466,54.27,,,,,,,,25,1,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,217.0,0.003,-0.041,,,,0.041,,0,0,0.527,0.473,25,27,25,27,2,1,7.0,1,,16.0,1.55,0.5,0.5,31.4,,,,,
SL,2023-10-01,87.5,-2.88,5.9,"Ureña, José",640492,570632,double,hit_into_play,,,,,5.0,Jose Azocar doubles (6) on a line drive to left fielder Tyler Naquin.,R,R,R,CWS,SD,X,7.0,line_drive,2,2,2023,-0.4,0.76,0.0321192208473924,2.5429577068283384,,,,2,4,Top,50.64,132.89,,,,,7.91926188287654,-127.22922936174238,-3.613467642937792,-5.819077191476118,23.03507524673592,-23.371937825706752,3.24,1.58,172.0,85.9,14.0,88.8,2457.0,6.8,716356,656024,683734,621545,672820,462101,571980,572204,657757,53.65,0.961,0.929,1.25,1.0,1.0,1.0,4.0,26,5,Slider,0,0,0,0,0,0,0,0,Standard,Standard,171.0,-0.03,0.617,72.8,8.0,1.133,-0.617,88.0,0,0,0.549,0.4509999999999999,31,27,32,27,2,0,5.0,1,,,2.19,0.4,0.4,39.6,18.916132311862633,-21.08151250839774,34.03586093621509,36.66282914737708,40.54676487381303
CH,2023-10-01,84.7,3.81,4.97,"Lopez, Jacob",623168,682052,,ball,,,,,14.0,Ball,R,R,L,TOR,TB,B,,,2,2,2023,1.65,0.57,0.4700115998063681,1.3745582734613762,,,,2,4,Bot,,,,,,,-11.161227923661633,-122.77171554961132,-3.155911050251097,18.86339807806333,24.393045168530573,-25.94521333023365,3.03123044454876,1.51290880109278,,,,85.1,2183.0,6.8,716357,650907,666018,678554,670623,691406,606132,622534,666139,53.71,,,,,,,,43,10,Changeup,3,9,3,9,9,3,3,9,Standard,Standard,104.0,0.001,0.104,,,,-0.104,,-6,-6,0.041,0.041,25,32,25,32,2,1,39.0,8,,,2.63,1.65,-1.65,13.9,,,,,
ST,2023-10-01,79.5,-2.66,5.6,"King, Michael",680118,650633,home_run,hit_into_play,,,,,5.0,Dairon Blanco homers (3) on a fly ball to left center field.,R,R,R,KC,NYY,X,,fly_ball,0,1,2023,1.31,0.11,0.0097722399298343,2.4363308245576625,,,,2,4,Bot,43.38,48.25,,,,,3.4076187680605288,-115.8107512705365,-0.4503372438136521,11.267332055968849,20.21968929416235,-31.282026909833647,3.41,1.57,423.0,108.2,24.0,79.9,2599.0,6.3,716352,669224,518934,672724,643396,683011,677592,664314,665828,54.17,0.93,1.8348,2.0,1.0,0.0,3.0,6.0,31,2,Sweeper,3,0,3,0,0,4,4,0,Standard,Standard,61.0,0.059,2.64,85.3,8.4,3.636,-2.64,108.2,3,3,0.841,0.841,28,30,28,30,2,1,5.0,1,,,3.47,-1.31,-1.31,30.3,28.40983234909909,-2.319710394306104,23.6533450843168,39.266416347658875,30.783779765755902
