pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2023-10-01,82.9,-1.56,6.22,"Giolito, Lucas",595879,608337,field_out,hit_into_play,,,,,5.0,Javier Baez flies out sharply to left fielder Steven Kwan.,R,R,R,DET,CLE,X,7.0,fly_ball,2,1,2023,0.23,-0.17,-0.200031836517856,2.478331385932675,,,,2,5,Bot,85.1,65.24,,,,,2.6782018459755284,-120.77759968272676,-1.7190742005202786,1.674217855817569,24.464355889214865,-33.74238853978318,3.53,1.75,345.0,102.4,40.0,83.0,2079.0,6.4,716361,666310,647304,677588,671289,677587,680757,657656,660757,54.13,0.242,0.46625,0.0,1.0,0.0,0.0,5.0,46,4,Slider,5,2,5,2,2,5,5,2,Standard,Standard,52.0,-0.006,-0.314,78.5,8.3,0.927,0.314,102.4,3,3,0.869,0.869,28,30,29,31,3,2,5.0,2,,,3.49,-0.23,-0.23,52.1,14.931151854512338,-7.68340945724152,31.53973134530442,35.62718672106354,36.17550234368207
SL,2023-10-01,83.7,-1.53,6.17,"Giolito, Lucas",595879,608337,,swinging_strike,,,,,13.0,Swinging Strike,R,R,R,DET,CLE,S,,,2,0,2023,0.22,-0.22,-0.3144375169735282,1.1981736964126055,,,,2,5,Bot,,,,,,,2.395548742412179,-121.84010355206702,-4.585634118137312,1.6292560522933277,25.69697905716179,-33.60462554707824,3.53,1.75,,,,83.8,2088.0,6.5,716361,666310,647304,677588,671289,677587,680757,657656,660757,54.02,,,,,,,,46,3,Slider,5,2,5,2,2,5,5,2,Standard,Standard,25.0,0.0,-0.06,76.7,9.4,,0.06,,3,3,0.869,0.869,28,30,29,31,3,2,5.0,2,,,3.49,-0.22,-0.22,50.4,29.093911417271592,-33.93978561845055,37.708546360258325,34.92711395596581,51.64567721600881
CH,2023-10-01,82.0,-1.26,6.24,"Giolito, Lucas",595879,608337,,ball,,,,,14.0,Ball,R,R,R,DET,CLE,B,,,1,0,2023,-0.45,0.85,1.0898192954897985,1.7787483540856468,,,,2,5,Bot,,,,,,,6.217987866032702,-119.25250115812176,-5.22606389217729,-5.464207354381967,21.73833363934329,-23.294311687561056,3.47423303949833,1.6633277908039,,,,82.7,1479.0,6.6,716361,666310,647304,677588,671289,677587,680757,657656,660757,53.85,,,,,,,,46,2,Changeup,5,2,5,2,2,5,5,2,Standard,Standard,226.0,0.0,0.056,,,,-0.056,,3,3,0.869,0.869,28,30,29,31,3,2,5.0,2,,,2.53,0.45,0.45,53.0,,,,,
CH,2023-10-01,82.9,-1.58,6.13,"Giolito, Lucas",595879,608337,,ball,,,,,13.0,Ball,R,R,R,DET,CLE,B,,,0,0,2023,-1.31,0.74,-0.0835295837774201,0.5932172698126768,,,,2,5,Bot,,,,,,,6.022357024495253,-120.35820675628514,-7.589590433771304,-13.876896534873064,24.59022185909024,-23.689272032674168,3.46540283026762,1.68361416639534,,,,83.2,1622.0,6.7,716361,666310,647304,677588,671289,677587,680757,657656,660757,53.78,,,,,,,,46,1,Changeup,5,2,5,2,2,5,5,2,Standard,Standard,226.0,0.001,0.043,,,,-0.043,,3,3,0.868,0.868,28,30,29,31,3,2,5.0,2,,,2.61,1.31,1.31,50.4,,,,,
CU,2023-10-01,77.3,-1.41,6.38,"Giolito, Lucas",668731,608337,field_out,hit_into_play,,,,,8.0,Akil Baddoo pops out to third baseman Tyler Freeman in foul territory.,R,L,R,DET,CLE,X,5.0,popup,2,2,2023,0.61,-1.13,-0.219099490059866,2.215777666120413,,,,1,5,Bot,102.07,184.85,,,,,1.4291272510298292,-112.54750005471152,0.2217613786260521,4.816462715552836,22.84996012353811,-41.97847181349179,3.54,1.69,73.0,80.1,73.0,76.9,2139.0,6.3,716361,666310,647304,677588,671289,677587,680757,657656,660757,54.23,0.003,0.002,0.0,1.0,0.0,0.0,3.0,45,6,Curveball,5,2,5,2,2,5,5,2,Standard,Standard,21.0,-0.006,-0.234,68.3,8.1,0.003,0.234,88.0,3,3,0.874,0.874,28,24,29,25,3,2,5.0,1,,,4.98,-0.61,0.61,54.4,20.69898094962041,-9.83134990251868,34.18459268174118,41.66849106176657,28.757661058836423
FF,2023-10-01,93.5,-1.32,6.15,"Giolito, Lucas",668731,608337,,foul,,,,,8.0,Foul,R,L,R,DET,CLE,S,,,2,2,2023,-0.45,1.46,-0.1853375222394935,2.2220079790822274,,,,1,5,Bot,,,,,,,3.9484886852914696,-135.9437386427146,-7.604739074516401,-6.504630692370441,31.81419229169236,-12.562106911469272,3.54,1.69,245.0,81.5,31.0,93.7,2294.0,6.6,716361,666310,647304,677588,671289,677587,680757,657656,660757,53.87,,,,,,,,45,5,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,206.0,0.0,0.0,63.0,6.6,,0.0,88.0,3,3,0.874,0.874,28,24,29,25,3,2,5.0,1,,,1.16,0.45,-0.45,52.4,-10.282422601948738,25.39281418393425,35.48013857771556,40.464125761198595,2.979068864805226
FF,2023-10-01,99.5,-2.64,5.67,"Greene, Hunter",676761,668881,field_out,hit_into_play,,,,,4.0,Irving Lopez flies out to center fielder Stuart Fairchild.,R,L,R,STL,CIN,X,8.0,fly_ball,3,2,2023,-0.91,1.2,-0.5732205901538444,2.543571797546824,691023.0,668800.0,665877.0,2,5,Bot,96.88,75.25,,,,,7.843747967818546,-144.61409357732722,-6.015857617349144,-14.623468871579291,32.55690461070646,-14.146766522200451,3.179,1.474,316.0,88.6,28.0,99.9,2364.0,6.5,716353,571912,663886,669222,682622,682829,605361,656413,666181,54.0,0.068,0.082,0.0,1.0,0.0,0.0,3.0,45,8,4-Seam Fastball,4,2,4,2,2,4,4,2,Infield shade,Standard,229.0,-0.057,-0.283,61.8,6.9,0.138,0.283,88.6,2,2,0.836,0.836,23,28,24,28,3,2,5.0,2,,,1.11,0.91,-0.91,24.4,19.190005103589343,12.890262756050744,25.449034679566317,36.66584646834739,18.782065863277673
FF,2023-10-01,99.4,-2.68,5.64,"Greene, Hunter",676761,668881,,foul,,,,,2.0,Foul,R,L,R,STL,CIN,S,,,3,2,2023,-0.73,1.21,-0.1600050557150164,2.8844924043235354,691023.0,668800.0,665877.0,2,5,Bot,,,,,,,8.661570603849968,-144.52278449307678,-4.9956707280911825,-12.218888010916894,34.20829759998023,-14.19034518719532,3.179,1.474,224.0,82.2,21.0,100.0,2223.0,6.7,716353,571912,663886,669222,682622,682829,605361,656413,666181,53.79,,,,,,,,45,7,4-Seam Fastball,4,2,4,2,2,4,4,2,Infield shade,Standard,226.0,0.0,0.0,,,,0.0,88.0,2,2,0.836,0.836,23,28,24,28,3,2,5.0,2,,,1.1,0.73,-0.73,23.9,,,,,
CH,2023-10-01,81.9,-1.38,6.2,"Giolito, Lucas",668731,608337,,ball,,,,,13.0,Ball,R,L,R,DET,CLE,B,,,1,2,2023,-1.05,1.0,-0.3305052232749398,0.6563224145285731,,,,1,5,Bot,,,,,,,4.410803170455998,-119.02898641367408,-7.872522572514811,-10.859694195386467,23.77389114052195,-21.34734407195449,3.30152602567328,1.60496942554187,,,,82.1,1565.0,6.6,716361,666310,647304,677588,671289,677587,680757,657656,660757,53.93,,,,,,,,45,4,Changeup,5,2,5,2,2,5,5,2,Standard,Standard,227.0,0.001,0.045,,,,-0.045,,3,3,0.873,0.873,28,24,29,25,3,2,5.0,1,,,2.42,1.05,-1.05,52.3,,,,,
ST,2023-10-01,81.4,2.76,5.74,"Weathers, Ryan",669261,677960,field_out,hit_into_play,,,,,13.0,Jack Suwinski flies out to right fielder Jesus Sanchez.,R,L,L,PIT,MIA,X,9.0,fly_ball,2,1,2023,-1.16,-0.16,-0.8369091788289911,2.3735419236883883,,,656582.0,2,6,Bot,178.72,101.17,,,,,-5.805668347967682,-118.45378404959811,-0.6202299182567201,-9.71856582674192,23.647060674952556,-33.777428361862995,3.55,1.62,283.0,83.0,25.0,80.6,2370.0,5.9,716362,663743,493329,669364,542932,621563,650559,641658,660821,54.63,0.203,0.199,0.0,1.0,0.0,0.0,3.0,43,4,Sweeper,0,0,0,0,0,0,0,0,Standard,Strategic,307.0,-0.038,-0.302,72.5,7.8,0.283,0.302,88.0,0,0,0.538,0.538,23,24,24,25,3,2,41.0,1,,,3.61,-1.16,-1.16,36.6,19.207441986680607,-11.051112152561888,28.766854447952916,42.538056792110254,37.94419099164756
FF,2023-10-01,92.8,-1.48,6.29,"Giolito, Lucas",668731,608337,,foul,,,,,2.0,Foul,R,L,R,DET,CLE,S,,,1,1,2023,-0.45,1.65,-0.1158689429607294,3.193717969757077,,,,1,5,Bot,,,,,,,4.495274206909815,-135.0819835282276,-5.7888383099199965,-6.424068895599209,27.613224216443815,-10.93632247484081,3.54,1.69,,,,93.5,2209.0,6.5,716361,666310,647304,677588,671289,677587,680757,657656,660757,53.95,,,,,,,,45,3,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,203.0,-0.002,-0.068,64.7,6.2,,0.068,,3,3,0.875,0.875,28,24,29,25,3,2,5.0,1,,,0.99,0.45,-0.45,52.6,-4.691786517764319,26.08003107250992,32.110243063473625,40.093788919857744,9.445648648447902
CH,2023-10-01,89.6,-3.1,5.59,"Ureña, José",595777,570632,field_out,hit_into_play,,,,,7.0,"Jurickson Profar grounds out, second baseman Zach Remillard to first baseman Andrew Vaughn.",R,L,R,CWS,SD,X,4.0,ground_ball,0,0,2023,-1.71,0.22,-0.6657792140662309,1.7081873861914263,,676946.0,640492.0,2,6,Top,155.82,150.72,,,,,9.691689983153836,-130.05722116363873,-3.9855594541227344,-21.530111089400847,29.79716363895306,-28.984293107422328,3.31,1.61,6.0,69.3,-15.0,89.6,1818.0,6.7,716356,656024,683734,621545,672820,462101,571980,572204,657757,53.84,0.045,0.044,0.0,1.0,0.0,0.0,2.0,43,1,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,235.0,0.067,-0.296,68.6,7.9,0.045,0.296,88.0,0,0,0.509,0.491,31,30,32,30,3,2,5.0,1,,,2.66,1.71,-1.71,36.0,11.780637904188442,-24.409826162458256,43.60064060255392,40.77706369971544,36.532896802491706
CU,2023-10-01,79.9,-2.31,5.38,"Buttó, José",595909,676130,strikeout,swinging_strike,,,,,8.0,Jake Cave strikes out swinging.,R,L,R,NYM,PHI,S,2.0,,3,2,2023,0.32,-0.47,-0.0867448560982875,1.572756316969515,,,,2,6,Top,,,,,,,4.274071904646919,-116.25717753472236,-0.7617241726294582,2.085239560424438,22.099682762161635,-36.4854222783118,3.41,1.64,,,,79.6,2502.0,6.1,716355,682626,624413,677595,683146,596019,641796,542364,621466,54.4,,0.0,0.0,1.0,0.0,0.0,,42,10,Curveball,1,2,2,1,2,1,2,1,Infield shade,Standard,41.0,0.014,-0.336,65.7,8.2,,0.336,,-1,1,0.382,0.618,25,30,25,31,3,2,7.0,1,,16.0,4.04,-0.32,0.32,36.1,31.31613845041139,-35.536133686872226,36.510341277078815,40.53454314924918,49.17452350079358
SL,2023-10-01,86.3,-2.61,5.72,"Greene, Hunter",676761,668881,,ball,,,,,11.0,Ball,R,L,R,STL,CIN,B,,,2,2,2023,0.55,-0.18,-2.0400632091673,2.4079502394970413,691023.0,668800.0,665877.0,2,5,Bot,,,,,,,0.2530102091080244,-125.7393838716338,-1.3239881899661747,5.754243130147768,24.5929440954132,-34.05449509858922,3.00793379984034,1.39988940595891,,,,86.9,2346.0,6.5,716353,571912,663886,669222,682622,682829,605361,656413,666181,54.01,,,,,,,,45,6,Slider,4,2,4,2,2,4,4,2,Standard,Standard,112.0,0.017,0.058,,,,-0.058,,2,2,0.819,0.819,23,28,24,28,3,2,5.0,2,,,3.23,-0.55,0.55,25.9,,,,,
SI,2023-10-01,95.3,-2.96,5.78,"Ureña, José",640492,570632,walk,ball,,,,,13.0,Jose Azocar walks.,R,R,R,CWS,SD,B,,,3,0,2023,-1.55,0.6,-1.1143235310871238,2.1468425674377234,,676946.0,,2,6,Top,,,,,,,8.365702561027268,-138.42661527788945,-5.229327868936335,-21.865605906910098,31.968168059802274,-23.48854940564825,3.19555098334257,1.55762121363908,,,,95.5,2236.0,6.6,716356,656024,683734,621545,672820,462101,571980,572204,657757,53.91,,0.695903,0.7,1.0,0.0,0.0,,42,4,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,229.0,-0.006,0.052,,,,-0.052,,0,0,0.515,0.485,31,27,32,27,3,1,5.0,1,,,1.93,1.55,1.55,33.5,,,,,
FF,2023-10-01,99.8,-2.56,5.82,"Greene, Hunter",676761,668881,,foul,,,,,9.0,Foul,R,L,R,STL,CIN,S,,,2,2,2023,-0.76,1.19,0.4309673253182584,1.907805062229668,691023.0,668800.0,665877.0,2,5,Bot,,,,,,,10.10073665781817,-144.95662799406372,-8.266950871384305,-12.958968997606297,30.199865136521456,-13.647271351694425,3.179,1.474,,,,100.9,2141.0,6.7,716353,571912,663886,669222,682622,682829,605361,656413,666181,53.78,,,,,,,,45,5,4-Seam Fastball,4,2,4,2,2,4,4,2,Standard,Standard,221.0,0.0,0.0,65.2,7.1,,0.0,,2,2,0.819,0.819,23,28,24,28,3,2,5.0,2,,,1.09,0.76,-0.76,30.7,12.065617230955857,-2.513084540386713,35.36068368329925,25.760239121976404,22.132584510078143
SL,2023-10-01,84.5,-2.4,5.26,"Buttó, José",595909,676130,,foul,,,,,13.0,Foul,R,L,R,NYM,PHI,S,,,3,2,2023,0.12,0.22,-0.1678172012597317,1.495302543636427,,,,2,6,Top,,,,,,,4.993449964638352,-122.95917530221404,-2.849166028827593,0.2441277047337538,24.67580351291491,-29.559744687539663,3.41,1.64,3.0,65.5,-30.0,85.0,2543.0,6.6,716355,682626,624413,677595,683146,596019,641796,542364,621466,53.88,,,,,,,,42,9,Slider,1,2,2,1,2,1,2,1,Infield shade,Standard,125.0,0.0,0.0,67.2,7.7,,0.0,88.0,-1,1,0.382,0.618,25,30,25,31,3,2,7.0,1,,16.0,2.97,-0.12,0.12,31.8,15.821191974326595,-17.60774091683989,38.00333842894173,42.28577145861043,42.33918101024523
FF,2023-10-01,94.8,2.52,5.76,"Weathers, Ryan",669261,677960,,ball,,,,,13.0,Ball,R,L,L,PIT,MIA,B,,,1,1,2023,1.16,0.94,-0.755006518378811,1.4728227113975565,,,656582.0,2,6,Bot,,,,,,,-11.023006840816722,-137.47537300950984,-7.5468425188760175,17.106155379551144,30.146634081523743,-18.662321696578793,3.5242588834959,1.82654335629083,,,,93.9,2216.0,5.9,716362,663743,493329,669364,542932,621563,650559,641658,660821,54.57,,,,,,,,43,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Strategic,133.0,0.005,0.036,,,,-0.036,,0,0,0.533,0.533,23,24,24,25,3,2,41.0,1,,,1.61,1.16,1.16,35.7,,,,,
FF,2023-10-01,92.8,-1.37,6.22,"Giolito, Lucas",668731,608337,,foul,,,,,5.0,Foul,R,L,R,DET,CLE,S,,,1,0,2023,-0.47,1.37,0.1295503607017863,2.3174104474460444,,,,1,5,Bot,,,,,,,4.894282668795122,-134.95438870697774,-7.236354032045621,-6.749667678524537,28.8011074837902,-14.042667763984651,3.54,1.69,242.0,87.0,48.0,93.5,2221.0,6.7,716361,666310,647304,677588,671289,677587,680757,657656,660757,53.8,,,,,,,,45,2,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,207.0,-0.001,-0.05,79.1,7.5,,0.05,88.0,3,3,0.876,0.876,28,24,29,25,3,2,5.0,1,,,1.28,0.47,-0.47,52.8,12.829785048617396,7.49733114999058,36.14731921345963,36.2716656144923,18.896074919592493
SL,2023-10-01,86.0,-2.7,5.62,"Greene, Hunter",676761,668881,,called_strike,,,,,4.0,Called Strike,R,L,R,STL,CIN,S,,,2,1,2023,0.46,0.2,-0.4441921062261212,1.9426584699071048,691023.0,668800.0,665877.0,2,5,Bot,,,,,,,4.44901813550403,-125.37130700788704,-2.990094402466007,4.110102713698433,22.12940028342815,-29.746367332971474,2.86155619343738,1.37543282547645,,,,87.2,2294.0,6.7,716353,571912,663886,669222,682622,682829,605361,656413,666181,53.83,,,,,,,,45,4,Slider,4,2,4,2,2,4,4,2,Standard,Standard,107.0,-0.014,-0.076,,,,0.076,,2,2,0.833,0.833,23,28,24,28,3,2,5.0,2,,,2.84,-0.46,0.46,26.1,,,,,
FF,2023-10-01,93.5,-2.31,5.29,"Buttó, José",595909,676130,,foul,,,,,6.0,Foul,R,L,R,NYM,PHI,S,,,3,2,2023,-0.39,1.41,0.3719104623738101,2.3828951292777165,,,,2,6,Top,,,,,,,7.820681098532913,-135.8612812003592,-4.82282089786291,-6.65320818583053,33.225256832685396,-13.86401300314018,3.41,1.64,9.0,82.1,-15.0,93.6,2366.0,6.7,716355,682626,624413,677595,683146,596019,641796,542364,621466,53.81,,,,,,,,42,8,4-Seam Fastball,1,2,2,1,2,1,2,1,Infield shade,Standard,214.0,0.0,0.0,76.7,7.7,,0.0,88.0,-1,1,0.382,0.618,25,30,25,31,3,2,7.0,1,,16.0,1.23,0.39,-0.39,34.9,26.873653430557983,-25.49951280453701,37.17303485769404,34.93059488766835,45.06268420445428
FF,2023-10-01,93.9,2.65,5.7,"Weathers, Ryan",669261,677960,,ball,,,,,13.0,Ball,R,L,L,PIT,MIA,B,,,0,1,2023,0.93,1.15,-1.408020051006034,1.0277272103632489,,,656582.0,2,6,Bot,,,,,,,-12.452122644750462,-136.0719038648931,-8.878822680269183,14.159325424179425,28.03172611493038,-15.964936229846394,3.44653322570091,1.54154369308213,,,,93.4,2166.0,6.1,716362,663743,493329,669364,542932,621563,650559,641658,660821,54.38,,,,,,,,43,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Strategic,134.0,0.003,0.025,,,,-0.025,,0,0,0.53,0.53,23,24,24,25,3,2,41.0,1,,,1.44,0.93,0.93,36.1,,,,,
SL,2023-10-01,87.5,-2.97,5.88,"Ureña, José",640492,570632,,ball,,,,,13.0,Ball,R,R,R,CWS,SD,B,,,2,0,2023,-0.76,0.99,-0.0191053762179438,1.3929711536796656,,676946.0,,2,6,Top,,,,,,,8.763378169927739,-127.0320061785166,-6.772878326997942,-9.940366085941108,24.98803529103437,-20.27791602691536,3.17336858376765,1.53546219164868,,,,88.4,2301.0,6.9,716356,656024,683734,621545,672820,462101,571980,572204,657757,53.63,,,,,,,,42,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,191.0,-0.004,0.037,,,,-0.037,,0,0,0.519,0.481,31,27,32,27,3,1,5.0,1,,,2.0,0.76,0.76,35.6,,,,,
SL,2023-10-01,83.5,-1.5,6.21,"Giolito, Lucas",668731,608337,,ball,,,,,14.0,Ball,R,L,R,DET,CLE,B,,,0,0,2023,0.11,0.09,1.1342491681627045,0.5728649613418693,,,,1,5,Bot,,,,,,,5.860512570621123,-121.34908886314476,-6.655533149537522,-0.1802194034244064,26.17023250075409,-30.1037811571608,3.32074800990622,1.69000068619235,,,,83.4,2092.0,6.5,716361,666310,647304,677588,671289,677587,680757,657656,660757,54.0,,,,,,,,45,1,Slider,5,2,5,2,2,5,5,2,Standard,Standard,13.0,0.001,0.039,,,,-0.039,,3,3,0.875,0.875,28,24,29,25,3,2,5.0,1,,,3.22,-0.11,0.11,55.6,,,,,
CH,2023-10-01,80.7,-1.57,6.1,"Giolito, Lucas",628451,608337,field_out,hit_into_play,,,,,9.0,Andy Ibanez pops out to first baseman Josh Naylor in foul territory.,R,R,R,DET,CLE,X,3.0,popup,1,1,2023,-1.03,0.81,0.4506572191130013,1.626803585462103,,,,0,5,Bot,166.57,170.04,,,,,6.504729317813435,-117.2982219133917,-4.889038380651454,-10.748529026943482,20.7931535457759,-23.926324153167077,3.12,1.48,126.0,72.4,66.0,81.3,1579.0,6.6,716361,666310,647304,677588,671289,677587,680757,657656,660757,53.86,0.003,0.002,0.0,1.0,0.0,0.0,3.0,44,3,Changeup,5,2,5,2,2,5,5,2,Standard,Standard,230.0,-0.009,-0.254,66.2,8.0,0.003,0.254,88.0,3,3,0.884,0.884,28,30,29,30,3,2,5.0,1,,,2.68,1.03,1.03,49.8,1.9564707670611907,-12.647586980308295,33.80294364821716,39.51323086821747,34.227704309071996
ST,2023-10-01,80.4,2.8,5.74,"Weathers, Ryan",669261,677960,,swinging_strike,,,,,7.0,Swinging Strike,R,L,L,PIT,MIA,S,,,0,0,2023,-1.26,-0.48,-0.4679129955533727,1.547490310811543,,,656582.0,2,6,Bot,,,,,,,-4.819141466070656,-116.9611092422408,-1.6224638000965,-10.496892324419578,24.29476675093212,-36.430085653775414,3.55,1.62,,,,79.6,2403.0,6.0,716362,663743,493329,669364,542932,621563,650559,641658,660821,54.55,,,,,,,,43,1,Sweeper,0,0,0,0,0,0,0,0,Standard,Strategic,310.0,-0.005,-0.045,52.4,7.8,,0.045,,0,0,0.535,0.535,23,24,24,25,3,2,41.0,1,,,4.04,-1.26,-1.26,36.1,20.565309656718913,-15.324116251181222,36.25581786836318,38.62510944761448,37.67981739893885
SI,2023-10-01,95.6,-2.99,5.68,"Ureña, José",640492,570632,,ball,,,,,13.0,Ball,R,R,R,CWS,SD,B,,,1,0,2023,-1.54,0.97,-0.194030879419969,1.3914623103992287,,,676946.0,2,6,Top,,,,,,,10.932778097788288,-138.6378885868451,-7.89218420668433,-22.380260573063904,31.7262454654214,-17.95031526153984,3.2175604872173,1.53500911533533,,,,96.2,2255.0,6.9,716356,656024,683734,621545,672820,462101,571980,572204,657757,53.64,,,,,,,,42,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,227.0,-0.018,0.037,,,,-0.037,,0,0,0.537,0.4629999999999999,31,27,32,27,3,1,5.0,1,,,1.54,1.54,1.54,31.5,,,,,
CH,2023-10-01,87.4,-2.44,5.27,"Buttó, José",595909,676130,,ball,,,,,14.0,Ball,R,L,R,NYM,PHI,B,,,2,2,2023,-0.4,0.12,0.0504817810191319,-0.1068050620048066,,,,2,6,Top,,,,,,,6.823516224787426,-126.88295079044715,-6.951384357824387,-5.869123368826572,29.223310360322117,-29.53420227689745,3.41104407488255,1.63364923145351,,,,86.8,2008.0,6.3,716355,682626,624413,677595,683146,596019,641796,542364,621466,54.15,,,,,,,,42,7,Changeup,1,2,2,1,2,1,2,1,Infield shade,Standard,229.0,-0.004,0.104,,,,-0.104,,-1,1,0.386,0.614,25,30,25,31,3,2,7.0,1,,16.0,2.91,0.4,-0.4,30.6,,,,,
SL,2023-10-01,86.8,-2.75,5.65,"Greene, Hunter",676761,668881,,ball,,,,,13.0,Ball,R,L,R,STL,CIN,B,,,1,1,2023,0.63,-0.02,-0.2391553290472073,0.7984432506330621,691023.0,668800.0,665877.0,2,5,Bot,,,,,,,4.7425095868964755,-126.3398768232016,-5.446554144862036,5.8676181611319445,24.392663635199288,-31.56463290095681,3.00793379984034,1.39988940595891,,,,87.6,2391.0,6.7,716353,571912,663886,669222,682622,682829,605361,656413,666181,53.83,,,,,,,,45,3,Slider,4,2,4,2,2,4,4,2,Standard,Standard,110.0,0.009,0.047,,,,-0.047,,2,2,0.824,0.824,23,28,24,28,3,2,5.0,2,,,3.03,-0.63,0.63,27.1,,,,,
CH,2023-10-01,83.7,-1.41,5.93,"Ober, Bailey",592178,641927,strikeout,swinging_strike,,,,,14.0,Kris Bryant strikes out swinging.,R,R,R,COL,MIN,S,2.0,,3,2,2023,-1.32,0.26,0.9382481554679444,1.7045399683034566,,,,1,7,Bot,,,,,,,8.12497056990193,-121.8030158551557,-4.024130250069114,-14.561455679680456,18.744917978846136,-29.10753428151464,3.32,1.7,,,,85.7,2139.0,7.1,716359,680777,543877,666397,456781,571657,650489,664057,656669,53.42,,0.0,0.0,1.0,0.0,0.0,,53,6,Changeup,1,2,1,2,2,1,1,2,Standard,Standard,247.0,-0.045,-0.328,57.5,8.8,,0.328,,-1,-1,0.324,0.324,27,31,28,31,3,2,5.0,1,6.0,,2.94,1.32,1.32,36.8,23.46332684387179,-19.636904210252347,34.05450867636317,48.77458987816689,40.24824930578405
FF,2023-10-01,95.2,2.6,5.78,"Weathers, Ryan",609280,677960,strikeout,swinging_strike,,,,,11.0,Miguel Andujar strikes out swinging.,R,R,L,PIT,MIA,S,2.0,,2,2,2023,0.98,1.27,-0.2899817899384269,3.549049039937117,,,656582.0,1,6,Bot,,,,,,,-9.62877985079644,-138.21960382531242,-2.9680190614487696,14.722330130495845,32.654997914135365,-15.450681693341076,3.23,1.54,,,,93.8,2124.0,5.7,716362,663743,493329,669364,542932,621563,650559,641658,660821,54.79,,0.0,0.0,1.0,0.0,0.0,,42,7,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,132.0,-0.037,-0.23,69.3,6.6,,0.23,,0,0,0.572,0.572,23,28,24,28,3,2,41.0,1,,,1.27,0.98,-0.98,39.0,5.792308319244858,7.415979170418993,19.550288367972236,37.40297837011025,24.075018330630428
SL,2023-10-01,88.9,-3.06,5.79,"Ureña, José",640492,570632,,ball,,,,,14.0,Ball,R,R,R,CWS,SD,B,,,0,0,2023,-0.75,1.03,0.646802660963374,1.5024315181201462,,,676946.0,2,6,Top,,,,,,,10.73873588681842,-128.8886288852613,-6.631235578012788,-10.658933627537824,27.5719226466856,-19.42817552904949,3.17327854983579,1.62388365181863,,,,89.4,2294.0,6.9,716356,656024,683734,621545,672820,462101,571980,572204,657757,53.64,,,,,,,,42,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,209.0,-0.003,0.03,,,,-0.03,,0,0,0.54,0.4599999999999999,31,27,32,27,3,1,5.0,1,,,1.88,0.75,0.75,34.0,,,,,
FF,2023-10-01,98.6,-2.55,5.84,"Greene, Hunter",676761,668881,,ball,,,,,11.0,Ball,R,L,R,STL,CIN,B,,,0,1,2023,-0.93,1.0,-0.7132707878511955,3.5003396533266073,691023.0,668800.0,665877.0,2,5,Bot,,,,,,,7.207368261422082,-143.50607400236532,-3.3073468841031084,-14.506328844755236,31.548027631095813,-17.70699017843459,3.05671481794347,1.47325264714505,,,,99.6,2237.0,6.7,716353,571912,663886,669222,682622,682829,605361,656413,666181,53.79,,,,,,,,45,2,4-Seam Fastball,4,2,4,2,2,4,4,2,Standard,Standard,223.0,0.005,0.034,,,,-0.034,,2,2,0.819,0.819,23,28,24,28,3,2,5.0,2,,,1.33,0.93,-0.93,28.4,,,,,
